Rank,Player,Teams,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS2,TD3,FL,G,FPTS,FPTS/G,ROST
132,Treyton Welch (NO),NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
133,Neal Johnson (NYJ),NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
134,Mason Pline (SF),SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
135,Colson Yankoff (WAS),WAS,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.10%
136,Messiah Swinson (GB),GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
137,Brenden Bates (CLE),CLE,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
138,Jack Westover (NE),NE,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
139,Colston Loveland (CHI),CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.80%
140,Brady Russell (SEA),SEA,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.00%
141,Travis Vokolek (ARI),ARI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
142,Joel Wilson (CHI),CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
143,Brayden Willis (SF),SF,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0.00%
144,Johnny Lumpkin (GB),GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
145,Mason Taylor (NYJ),NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.20%
146,Oronde Gadsden II (LAC),LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30%
147,Caden Prieskorn (DEN),DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
148,Gavin Bartholomew (MIN),MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
149,Bryson Nesbit (MIN),MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
150,John Stephens Jr. (DAL),DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
151,Princeton Fant (DAL),DAL,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
152,Jordan Murray (CHI),CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
153,Tanner Taula (TB),TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
154,Kevin Foelsch (KC),KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
155,Oscar Cardenas (ARI),ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
156,Bryce Pierre (CAR),CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
157,John Copenhaver (JAC),JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
158,Patrick Herbert (JAC),JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
159,Tyler Neville (DAL),DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
160,Stevo Klotz (LAC),LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
161,JJ Galbreath (PIT),PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
162,Caleb Lohner (DEN),DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
163,Jordan Petaia (LAC),LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
164,Robbie Ouzts (SEA),SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
165,DJ Thomas-Jones (PIT),PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
166,Pat Conroy (LV),LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
167,Jackson Hawes (BUF),BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
168,Nick Kallerup (SEA),SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
169,Luke Deal (DET),DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
170,Drake Dabney (TEN),TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
171,Max Mang (IND),IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
172,Sam Pitz (BAL),BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
173,Jermaine Terry II (NYG),NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
174,Anthony Torres (LAR),LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
175,Ben Yurosek (MIN),MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
176,Tre Watson (KC),KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
177,Zach Horton (DET),DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
178,Kole Taylor (CIN),CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
179,Marshall Lang (SEA),SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
180,Carter Runyon (LV),LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
181,Gee Scott Jr. (NE),NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
182,Shawn Bowman (JAC),JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
183,Mitchell Evans (CAR),CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80%
184,Gunnar Helm (TEN),TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10%
185,Harold Fannin Jr. (CLE),CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80%
186,Hayden Rucci (MIA),MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
187,Keleki Latu (BUF),BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
188,Qadir Ismail (LV),LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
189,CJ Dippre (NE),NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
